form_slp1	form_iast	root_slp1	root_iast	support	sources
nivizwi	niviṣṭi	viS	viś	1	pwg
nivyADa	nivyādha	vyaD	vyadh	1	pwg
nivyaD	nivyadh	vyaD	vyadh	1	mw
nivye	nivye	vye	vye	1	mw
niwtvam	niṭtvam	paci	paci	1	krm-body
niyA	niyā	yA	yā	1	mw
niyAma	niyāma	yam	yam	1	pwg
niyAmakABAvAt	niyāmakābhāvāt	ru	ru	1	krm-body
niyAmakaH	niyāmakaḥ	yama	yama	1	krm-body
niyAmakaM	niyāmakaṃ	luRWa	luṇṭha	1	krm-body
niyAmayati	niyāmayati	yama	yama	1	krm-body
niyAmyam	niyāmyam	yama	yama	2	krm-body
niyAna	niyāna	yA	yā	1	pwg
niya	niya	arca	arca	1	krm-body
niyaH	niyaḥ	RIN	ṇīṅ	1	krm-body
niyam	niyam	yam	yam	1	mw
niyamARRijaBAvapakze	niyamāṇṇijabhāvapakṣe	mI	mī	1	krm-body
niyamASrayaRAt	niyamāśrayaṇāt	riPa	ripha	1	krm-body
niyamASrayaRe	niyamāśrayaṇe	riPa	ripha	1	krm-body
niyamAdiRRizeDaH	niyamādiṇṇiṣedhaḥ	kramu	kramu	2	krm-body
niyamAnnivartate	niyamānnivartate	Suca	śuca	1	krm-body
niyamArTam	niyamārtham	Sikza	śikṣa	1	krm-body
niyama	niyama	yam	yam	1	pwg
niyamagrahamAtrataH	niyamagrahamātrataḥ	dIkza	dīkṣa	1	krm-body
niyamana	niyamana	yama	yama	1	vcp
niyamanaM	niyamanaṃ	yama	yama	1	skd
niyamanena	niyamanena	rA	rā	1	krm-body
niyamasTaM	niyamasthaṃ	japa	japa	1	krm-body
niyamastu	niyamastu	raKi	rakhi	1	krm-body
niyamasya	niyamasya	zvada	ṣvada	1	krm-body
niyamayamAnaH	niyamayamānaḥ	yama	yama	1	krm-body
niyamayan	niyamayan	yama	yama	1	krm-body
niyamayati	niyamayati	yama	yama	1	krm-body
niyamena	niyamena	uca	uca	1	krm-body
niyamenocyanti	niyamenocyanti	uca	uca	1	krm-body
niyamyA	niyamyā	yama	yama	1	krm-body
niyamya	niyamya	yam	yam	1	pwg
niyantf	niyantṛ	vaha	vaha	1	krm-body
niyat	niyat	yat	yat	1	mw
niyatavizayA	niyataviṣayā	Gf	ghṛ	1	krm-body
niyatiH	niyatiḥ	yama	yama	1	skd
niyatijYA	niyatijñā	jYA	jñā	1	krm-body
niyava	niyava	yu	yu	1	pwg
niyayin	niyayin	yA	yā	1	pwg
niyodDar	niyoddhar	yuD	yudh	1	pwg
niyoga	niyoga	yuj	yuj	1	pwg
niyogaH	niyogaḥ	SAsu	śāsu	1	krm-body
niyoge	niyoge	jYA	jñā	2	krm-body
niyojana	niyojana	yuja	yuja	1	vcp
niyojanam	niyojanam	sf	sṛ	1	krm-body
niyojayitavya	niyojayitavya	yuj	yuj	1	pwg
niyojya	niyojya	yuj	yuj	1	pwg
niyoktar	niyoktar	yuj	yuj	1	pwg
niyu	niyu	yu	yu	1	mw
niyuD	niyudh	yuD	yudh	1	mw
niyudDam	niyuddham	jYA	jñā	2	krm-body
niyuj	niyuj	yuj	yuj	1	mw
niyukti	niyukti	yuj	yuj	1	pwg
niyut	niyut	yu	yu	1	pwg
niyutaH	niyutaḥ	tapa	tapa	1	krm-body
niyutsA	niyutsā	yuD	yudh	1	pwg
nizAda	niṣāda	sad	sad	1	pwg
nizAdaH	niṣādaḥ	zadx	ṣadḷ	3	krm-body
nizAdayanti	niṣādayanti	zadx	ṣadḷ	1	krm-body
nizAdin	niṣādin	sad	sad	1	pwg
nizAtanAntaYo	niṣātanāntaño	kramu	kramu	1	krm-body
nizIdanti	niṣīdanti	zadx	ṣadḷ	1	krm-body
nizKan	niṣkhan	Kan	khan	1	mw
nizKid	niṣkhid	Kid	khid	1	mw
nizPAra	niṣphāra	sPar	sphar	1	pwg
nizPalIkf	niṣphalīkṛ	kf	kṛ	1	mw
nizPur	niṣphur	sPur	sphur	1	mw
nizRA	niṣṇā	snA	snā	1	mw
nizRAtaH	niṣṇātaḥ	zRA	ṣṇā	3	krm-body
nizRAto	niṣṇāto	zRA	ṣṇā	1	krm-body
nizRRAta	niṣṇṇāta	snA	snā	1	vcp
nizRa	niṣṇa	snA	snā	1	pwg
nizUd	niṣūd	sUd	sūd	1	mw
nizWAM	niṣṭhāṃ	DAY	dhāñ	1	krm-body
nizWAdO	niṣṭhādau	zRu	ṣṇu	1	krm-body
nizWAdizu	niṣṭhādiṣu	zo	ṣo	1	krm-body
nizWAktinnAdizvapi	niṣṭhāktinnādiṣvapi	SriY	śriñ	1	krm-body
nizWAmAmaniwa	niṣṭhāmāmaniṭa	kuca	kuca	1	krm-body
nizWAna	niṣṭhāna	sTA	sthā	1	vcp
nizWAnaM	niṣṭhānaṃ	sTA	sthā	1	skd
nizWAnakArasya	niṣṭhānakārasya	Cfdir	chṛdir	1	krm-body
nizWAnatvABAvaH	niṣṭhānatvābhāvaḥ	kzi	kṣi	1	krm-body
nizWAnatvamiti	niṣṭhānatvamiti	SyEN	śyaiṅ	2	krm-body
nizWAnatvanizeDe	niṣṭhānatvaniṣedhe	madI	madī	1	krm-body
nizWAnatvaprasakteH	niṣṭhānatvaprasakteḥ	sPUrjA	sphūrjā	1	krm-body
nizWAnatvasyAsidDatvAt	niṣṭhānatvasyāsiddhatvāt	zwyE	ṣṭyai	1	krm-body
nizWAnatvasya	niṣṭhānatvasya	Svi	śvi	1	krm-body
nizWAnatvavikalpaH	niṣṭhānatvavikalpaḥ	hrI	hrī	1	krm-body
nizWAntasyAsyApi	niṣṭhāntasyāsyāpi	zo	ṣo	1	krm-body
nizWAntasya	niṣṭhāntasya	sPAyI	sphāyī	1	krm-body
nizWAtakAraDAtudakArayoH	niṣṭhātakāradhātudakārayoḥ	syandU	syandū	1	krm-body
nizWAtakArasyEva	niṣṭhātakārasyaiva	laqi	laḍi	1	krm-body
nizWAva	niṣṭhāva	sTA	sthā	1	pwg
nizWAvant	niṣṭhāvant	nizWA	niṣṭhā	1	pwg
nizWAyAma	niṣṭhāyāma	kaza	kaṣa	1	krm-body
nizWAyAmaRyadarTe	niṣṭhāyāmaṇyadarthe	kzi	kṣi	2	krm-body
nizWAyAmajantopasargAt	niṣṭhāyāmajantopasargāt	do	do	1	krm-body
nizWAyAmanida	niṣṭhāyāmanida	kuju	kuju	1	krm-body
nizWAyAmaniqByaH	niṣṭhāyāmaniḍbhyaḥ	Apx	āpḷ	1	krm-body
nizWAyAmaniwastezAM	niṣṭhāyāmaniṭasteṣāṃ	varca	varca	1	krm-body
nizWAyAmaniwo	niṣṭhāyāmaniṭo	ruca	ruca	1	krm-body
nizWAyAmaniwtvaM	niṣṭhāyāmaniṭtvaṃ	svana	svana	1	krm-body
nizWAyAmatra	niṣṭhāyāmatra	patx	patḷ	1	krm-body
nizWAyAmiRRi	niṣṭhāyāmiṇṇi	kzevu	kṣevu	1	krm-body
nizWAyAmiRna	niṣṭhāyāmiṇna	zaRa	ṣaṇa	1	krm-body
nizWAyAmiRnizeGe	niṣṭhāyāmiṇniṣeghe	ruza	ruṣa	1	krm-body
nizWAyAmid	niṣṭhāyāmid	grasu	grasu	1	krm-body
nizWAyAmiqAgamanizeDaH	niṣṭhāyāmiḍāgamaniṣedhaḥ	vfjI	vṛjī	1	krm-body
nizWAyAmiqAgame	niṣṭhāyāmiḍāgame	ciri	ciri	1	krm-body
nizWAyAmiqaBAvaH	niṣṭhāyāmiḍabhāvaḥ	reBf	rebhṛ	1	krm-body
nizWAyAmiqaBAvahakAralopaQatvAnAM	niṣṭhāyāmiḍabhāvahakāralopaḍhatvānāṃ	dfha	dṛha	1	krm-body
nizWAyAmiqaBAvamavalambya	niṣṭhāyāmiḍabhāvamavalambya	cucya	cucya	1	krm-body
nizWAyAmiti	niṣṭhāyāmiti	svana	svana	1	krm-body
nizWAyAmiwaH	niṣṭhāyāmiṭaḥ	mfza	mṛṣa	1	krm-body
nizWAyAmiwpratizeDa	niṣṭhāyāmiṭpratiṣedha	sPAyI	sphāyī	1	krm-body
nizWAyAmupaDAnakAralope	niṣṭhāyāmupadhānakāralope	tfnhU	tṛnhū	1	krm-body
nizWIva	niṣṭhīva	zWiva	ṣṭhiva	1	vcp
nizWIvana	niṣṭhīvana	zWiva	ṣṭhiva	1	vcp
nizWIvanaM	niṣṭhīvanaṃ	zWiva	ṣṭhiva	1	skd
nizWa	niṣṭha	sTA	sthā	1	pwg
nizWeva	niṣṭheva	zWiv	ṣṭhiv	1	pwg
nizWevanaM	niṣṭhevanaṃ	zWiv	ṣṭhiv	1	skd
nizWiv	niṣṭhiv	zWiv	ṣṭhiv	1	mw
nizWyUta	niṣṭhyūta	manuH	manuḥ	1	vcp
nizWyUtam	niṣṭhyūtam	zWivu	ṣṭhivu	2	krm-body
nizWyUtiH	niṣṭhyūtiḥ	zWivu	ṣṭhivu	1	krm-body
nizaRRa	niṣaṇṇa	sada	sada	1	vcp
nizaRRaka	niṣaṇṇaka	sad	sad	1	pwg
nizaYj	niṣañj	saYj	sañj	1	mw
nizaYja	niṣañja	saYj	sañj	1	pwg
nizad	niṣad	sad	sad	1	mw,vcp
nizadana	niṣadana	sad	sad	1	pwg,vcp
nizadvaraH	niṣadvaraḥ	zadx	ṣadḷ	2	krm-body
nizadyA	niṣadyā	zadx	ṣadḷ	2	krm-body,skd
nizah	niṣah	sah	sah	1	mw
nizamam	niṣamam	ni	ni	1	pwg
nizatti	niṣatti	sad	sad	1	pwg
nizaya	niṣaya	sA	sā	1	pwg
nizeDABAve	niṣedhābhāve	Guzir	ghuṣir	1	krm-body
nizeDARRatvaM	niṣedhāṇṇatvaṃ	pA	pā	1	krm-body
nizeDAcca	niṣedhācca	zRA	ṣṇā	1	krm-body
nizeDAddIrGe	niṣedhāddīrghe	gaRa	gaṇa	1	krm-body
nizeDAdiqAgamo	niṣedhādiḍāgamo	gupU	gupū	1	krm-body
nizeDApravfttyA	niṣedhāpravṛttyā	RU	ṇū	1	krm-body
nizeDaM	niṣedhaṃ	ana	ana	1	krm-body
nizeDabADanArTa	niṣedhabādhanārtha	ziDa	ṣidha	1	krm-body
nizeDaprakaraRe	niṣedhaprakaraṇe	sKada	skhada	1	krm-body
nizeDasyAnityatvAdiw	niṣedhasyānityatvādiṭ	manu	manu	1	krm-body
nizeDasya	niṣedhasya	oRf	oṇṛ	1	krm-body
nizeDasyeti	niṣedhasyeti	sUd	sūd	1	krm-body
nizeDavikalpaH	niṣedhavikalpaḥ	tvarA	tvarā	1	krm-body
nizeDavikalpe	niṣedhavikalpe	masjo	masjo	1	krm-body
nizeDo	niṣedho	camu	camu	2	krm-body
nizekaH	niṣekaḥ	zica	ṣica	2	krm-body
nizetsyati	niṣetsyati	mAnTa	māntha	1	krm-body
nizevyaH	niṣevyaḥ	seva	seva	1	skd
nizic	niṣic	sic	sic	1	mw
nizidDam	niṣiddham	Samu	śamu	1	krm-body
nizitam	niṣitam	zo	ṣo	1	krm-body
niziv	niṣiv	siv	siv	1	mw
nizizatsuH	niṣiṣatsuḥ	zadx	ṣadḷ	1	krm-body
nizk	niṣk	nizka	niṣka	1	pwg
nizkAS	niṣkāś	kAS	kāś	1	mw
nizkAmazIBU	niṣkāmaṣībhū	BU	bhū	1	mw
nizkAsa	niṣkāsa	kas	kas	1	pwg,vcp
nizkAsana	niṣkāsana	kas	kas	1	pwg
nizkAsanam	niṣkāsanam	kAsf	kāsṛ	1	krm-body
nizkAsin	niṣkāsin	kas	kas	1	pwg
nizkAza	niṣkāṣa	kaz	kaṣ	1	pwg
nizkal	niṣkal	kal	kal	1	mw
nizkaruRIkf	niṣkaruṇīkṛ	kf	kṛ	1	mw
nizkarza	niṣkarṣa	kfza	kṛṣa	1	vcp
nizkarze	niṣkarṣe	zaRa	ṣaṇa	1	krm-body
nizkas	niṣkas	kas	kas	1	mw
nizkf	niṣkṛ	kf	kṛ	1	mw
nizkft	niṣkṛt	kft	kṛt	1	mw
nizkfz	niṣkṛṣ	kfz	kṛṣ	1	mw
nizkin	niṣkin	nizka	niṣka	1	pwg
nizkitam	niṣkitam	nizka	niṣka	1	krm-body
nizkoza	niṣkoṣa	kuz	kuṣ	1	pwg
nizkozaRam	niṣkoṣaṇam	tUla	tūla	1	krm-body
nizkozitA	niṣkoṣitā	kuza	kuṣa	1	krm-body
nizkozitavyAn	niṣkoṣitavyān	kuza	kuṣa	1	krm-body
nizkozitavya	niṣkoṣitavya	kuz	kuṣ	1	pwg
nizkozitavyam	niṣkoṣitavyam	kuza	kuṣa	1	krm-body
nizkozitum	niṣkoṣitum	kuza	kuṣa	1	krm-body
nizkozwavyam	niṣkoṣṭavyam	kuza	kuṣa	1	krm-body
nizkozwuM	niṣkoṣṭuṃ	kuza	kuṣa	1	krm-body
nizkozwum	niṣkoṣṭum	kuza	kuṣa	1	krm-body
nizkozya	niṣkoṣya	kuza	kuṣa	1	krm-body
nizkrI	niṣkrī	krI	krī	1	mw
nizkrIti	niṣkrīti	krI	krī	1	pwg
nizkram	niṣkram	kram	kram	1	mw
nizkrama	niṣkrama	kram	kram	1	pwg
nizkramaRaM	niṣkramaṇaṃ	krama	krama	1	skd
nizkraya	niṣkraya	krI	krī	2	pwg,vcp
nizkrayaH	niṣkrayaḥ	krIY	krīñ	1	krm-body,skd
nizkrayaM	niṣkrayaṃ	krIY	krīñ	1	krm-body
nizkulAkf	niṣkulākṛ	kf	kṛ	1	mw
nizkulIkf	niṣkulīkṛ	kf	kṛ	1	mw
nizkula	niṣkula	kf	kṛ	1	mw
nizkuz	niṣkuṣ	kuz	kuṣ	1	mw
nizkuzita	niṣkuṣita	kuz	kuṣ	1	pw
nizkuzitam	niṣkuṣitam	kuza	kuṣa	1	krm-body
nizkvATa	niṣkvātha	kvaT	kvath	1	pwg
nizkvaT	niṣkvath	kvaT	kvath	1	mw
nizo	niṣo	so	so	1	mw
nizpA	niṣpā	pA	pā	2	mw
nizpAdaka	niṣpādaka	pad	pad	1	pwg
nizpAdayanti	niṣpādayanti	DAY	dhāñ	1	krm-body
nizpAditamiti	niṣpāditamiti	vfY	vṛñ	1	krm-body
nizpAditavAn	niṣpāditavān	ru	ru	1	krm-body
nizpAdya	niṣpādya	vftu	vṛtu	2	krm-body
nizpAdyate	niṣpādyate	Suca	śuca	1	krm-body
nizpAna	niṣpāna	pA	pā	1	pwg
nizpAraH	niṣpāraḥ	pAra	pāra	1	krm-body
nizpAta	niṣpāta	pat	pat	1	pwg
nizpAva	niṣpāva	pU	pū	2	pwg,vcp
nizpIq	niṣpīḍ	pIq	pīḍ	1	mw
nizpIqa	niṣpīḍa	Sucya	śucya	1	krm-body
nizpU	niṣpū	pU	pū	1	mw
nizpUyate	niṣpūyate	pUY	pūñ	1	krm-body
nizpad	niṣpad	pad	pad	1	mw,pwg
nizpadyata	niṣpadyata	mfjU	mṛjū	1	krm-body
nizpakva	niṣpakva	pac	pac	1	pwg
nizpalAy	niṣpalāy	i	i	1	mw
nizpandIkf	niṣpandīkṛ	kf	kṛ	1	mw
nizpandatarIBU	niṣpandatarībhū	BU	bhū	1	mw
nizpannAH	niṣpannāḥ	zadx	ṣadḷ	1	krm-body
nizpat	niṣpat	pat	pat	1	mw
nizpatana	niṣpatana	pat	pat	1	pwg
nizpatizRu	niṣpatiṣṇu	pat	pat	1	pwg
nizpatrAkfti	niṣpatrākṛti	kf	kṛ	1	vcp
nizpatrAkftiH	niṣpatrākṛtiḥ	kf	kṛ	1	skd
nizpatti	niṣpatti	pad	pad	1	pwg
nizpattirmADavaDAtu	niṣpattirmādhavadhātu	rada	rada	1	krm-body
nizpattrAkf	niṣpattrākṛ	kf	kṛ	1	mw
nizpattra	niṣpattra	kf	kṛ	1	mw
nizpavaRa	niṣpavaṇa	pU	pū	1	pwg
nizpavana	niṣpavana	pU	pū	1	vcp
nizpeza	niṣpeṣa	piz	piṣ	1	pwg,vcp
nizpf	niṣpṛ	pf	pṛ	1	mw
nizpiS	niṣpiś	piS	piś	1	mw
nizpiz	niṣpiṣ	piz	piṣ	1	mw
nizpizwaH	niṣpiṣṭaḥ	DAY	dhāñ	1	krm-body
nizprapatana	niṣprapatana	pat	pat	1	pwg
nizpratiBaMkf	niṣpratibhaṃkṛ	kf	kṛ	1	mw
nizpratyASIBU	niṣpratyāśībhū	BU	bhū	1	mw
nizpravARa	niṣpravāṇa	syUtO	syūtau	1	vcp
nizpravARaM	niṣpravāṇaṃ	ve	ve	1	skd
nizpravARi	niṣpravāṇi	veY	veñ	1	vcp
nizprayojanA	niṣprayojanā	daha	daha	1	krm-body
nizputrIkf	niṣputrīkṛ	kf	kṛ	1	mw
nizwA	niṣṭā	zvidA	ṣvidā	1	krm-body
nizwAnaka	niṣṭānaka	stan	stan	1	pwg
nizwAyAM	niṣṭāyāṃ	zwuca	ṣṭuca	1	krm-body
nizwakvan	niṣṭakvan	tak	tak	1	pwg
nizwan	niṣṭan	stan	stan	1	mw
nizwana	niṣṭana	stan	stan	1	pwg
nizwap	niṣṭap	tap	tap	1	mw
nizwapana	niṣṭapana	tap	tap	1	pwg
nizwapanena	niṣṭapanena	lI	lī	1	krm-body
nizwaptA	niṣṭaptā	tapa	tapa	1	krm-body
nizwaptavyam	niṣṭaptavyam	tapa	tapa	1	krm-body
nizwarkyadevahUyapraRIyonnIyocCizyamaryastaryADvarya	niṣṭarkyadevahūyapraṇīyonnīyocchiṣyamaryastaryādhvarya	Dvf	dhvṛ	1	krm-body
nizwatakzuH	niṣṭatakṣuḥ	vfkza	vṛkṣa	1	krm-body
nizwobDA	niṣṭobdhā	zwuBu	ṣṭubhu	1	krm-body
nizwu	niṣṭu	stu	stu	1	mw
nizwyE	niṣṭyai	styE	styai	1	mw
nizyandI	niṣyandī	syandU	syandū	1	krm-body
nizyanda	niṣyanda	syanda	syanda	1	vcp
nizyandamAnaH	niṣyandamānaḥ	syandU	syandū	1	krm-body
nizyandinIranikareRa	niṣyandinīranikareṇa	syandU	syandū	1	krm-body
nizyannaH	niṣyannaḥ	zivu	ṣivu	1	krm-body
nizzah	niṣṣah	sah	sah	1	pwg
nizzeDa	niṣṣedha	siDa	sidha	1	vcp
nnArTezu	nnārtheṣu	rADa	rādha	1	krm-body
nnaH	nnaḥ	SIN	śīṅ	1	krm-body
nnasya	nnasya	BF	bhṝ	1	krm-body
nnimittAt	nnimittāt	BA	bhā	1	krm-body
noDas	nodhas	nu	nu	1	mw
nocyate	nocyate	vanu	vanu	2	krm-body
nodAtto	nodātto	tamu	tamu	1	krm-body
nodAttopadeSa	nodāttopadeśa	Bramu	bhramu	1	krm-body
nodaH	nodaḥ	Ruda	ṇuda	1	krm-body
nodam	nodam	Ruda	ṇuda	2	krm-body
nodanA	nodanā	Ruda	ṇuda	1	krm-body
nodanIyam	nodanīyam	Ruda	ṇuda	2	krm-body
nodana	nodana	nuda	nuda	2	pwg,vcp
nodanaM	nodanaṃ	nud	nud	1	apte
nodanam	nodanam	Ruda	ṇuda	2	ap,krm-body
nodayamAnaH	nodayamānaḥ	Ruda	ṇuda	1	krm-body
nodayitavyam	nodayitavyam	Ruda	ṇuda	1	krm-body
nodayitum	nodayitum	Ruda	ṇuda	1	krm-body
nodayitvA	nodayitvā	Ruda	ṇuda	2	krm-body
nodayizyamARaH	nodayiṣyamāṇaḥ	Ruda	ṇuda	1	krm-body
nodgamanaM	nodgamanaṃ	kramu	kramu	1	krm-body
noditaH	noditaḥ	Ruda	ṇuda	1	krm-body
nodyam	nodyam	Ruda	ṇuda	2	krm-body
nodyamAnaH	nodyamānaḥ	Ruda	ṇuda	1	krm-body
nonUyA	nonūyā	Ru	ṇu	1	krm-body
nonUyaH	nonūyaḥ	Ru	ṇu	1	krm-body
nonUyam	nonūyam	Ru	ṇu	1	krm-body
nonUyamAnaH	nonūyamānaḥ	Ru	ṇu	1	krm-body
nonUyanIyam	nonūyanīyam	Ru	ṇu	1	krm-body
nonUyanam	nonūyanam	Ru	ṇu	1	krm-body
nonUyitavyam	nonūyitavyam	Ru	ṇu	1	krm-body
nonUyitum	nonūyitum	Ru	ṇu	1	krm-body
nonUyitvA	nonūyitvā	Ru	ṇu	2	krm-body
nonUyizyamARaH	nonūyiṣyamāṇaḥ	Ru	ṇu	1	krm-body
nonUyyam	nonūyyam	Ru	ṇu	1	krm-body
nonUyyamAnaH	nonūyyamānaḥ	Ru	ṇu	1	krm-body
nonudA	nonudā	Ruda	ṇuda	1	krm-body
nonudaH	nonudaḥ	Ruda	ṇuda	2	krm-body
nonudam	nonudam	Ruda	ṇuda	1	krm-body
nonudanIyam	nonudanīyam	Ruda	ṇuda	1	krm-body
nonudanam	nonudanam	Ruda	ṇuda	1	krm-body
nonuditavyam	nonuditavyam	Ruda	ṇuda	1	krm-body
nonuditum	nonuditum	Ruda	ṇuda	1	krm-body
nonuditvA	nonuditvā	Ruda	ṇuda	2	krm-body
nonudizyamARaH	nonudiṣyamāṇaḥ	Ruda	ṇuda	1	krm-body
nonudyam	nonudyam	Ruda	ṇuda	1	krm-body
nonudyamAnaH	nonudyamānaḥ	Ruda	ṇuda	2	krm-body
nonuva	nonuva	nu	nu	1	pwg
nonuvaH	nonuvaḥ	Ru	ṇu	1	krm-body
nopAttaM	nopāttaṃ	mada	mada	1	krm-body
nopAttam	nopāttam	mlewf	mleṭṛ	1	krm-body
nopaDAdeveti	nopadhādeveti	riPa	ripha	1	krm-body
nopaDAnakAralopaH	nopadhānakāralopaḥ	SaMsu	śaṃsu	1	krm-body
nopaDAnakAralopasya	nopadhānakāralopasya	mAnTa	māntha	1	krm-body
nopaDAyA	nopadhāyā	SIla	śīla	1	krm-body
nopakziptamiti	nopakṣiptamiti	Bikza	bhikṣa	1	krm-body
nopala	nopala	SUza	śūṣa	1	krm-body
nopapattikalpanapariSramaH	nopapattikalpanapariśramaḥ	yaja	yaja	1	krm-body
nopayAntyAhave	nopayāntyāhave	Gfzu	ghṛṣu	1	krm-body
notpadyate	notpadyate	gF	gṝ	1	krm-body
notsyamAnaH	notsyamānaḥ	Ruda	ṇuda	1	krm-body
nottarAn	nottarān	jYA	jñā	1	krm-body
nottavyam	nottavyam	Ruda	ṇuda	1	krm-body
nottum	nottum	Ruda	ṇuda	1	krm-body
novAro	novāro	vfN	vṛṅ	1	krm-body
ntAt	ntāt	arha	arha	1	krm-body
ntaramapyatreti	ntaramapyatreti	kawi	kaṭi	1	krm-body
ntaramidam	ntaramidam	KakKa	khakkha	1	krm-body
ntarapUrvaH	ntarapūrvaḥ	Sasi	śasi	1	krm-body
ntasya	ntasya	hisi	hisi	1	krm-body
ntatve	ntatve	laja	laja	1	krm-body
ntatvena	ntatvena	svarta	svarta	1	krm-body
ntyamAnaH	ntyamānaḥ	ati	ati	1	krm-body
ntyamidam	ntyamidam	lAja	lāja	1	krm-body
nu	nu	nu	nu	1	pwg
nuBAgame	nubhāgame	masjo	masjo	1	krm-body
nuNGawitAni	nuṅghaṭitāni	tfha	tṛha	1	krm-body
nuSabdasya	nuśabdasya	Ruda	ṇuda	1	krm-body
nuda	nuda	nud	nud	1	pwg
nudaH	nudaḥ	Ruda	ṇuda	1	krm-body
nudamAnaH	nudamānaḥ	Ruda	ṇuda	1	krm-body
nudan	nudan	Ruda	ṇuda	1	krm-body
nudati	nudati	Ruda	ṇuda	1	krm-body
nudavidonda	nudavidonda	undI	undī	1	krm-body
nudavidondatrA	nudavidondatrā	vida	vida	1	krm-body
nudyamAnaH	nudyamānaḥ	Ruda	ṇuda	1	krm-body
nudyate	nudyate	Ruda	ṇuda	2	krm-body
nugAgamasya	nugāgamasya	drama	drama	1	krm-body
nugAgamavAdinAM	nugāgamavādināṃ	prIY	prīñ	1	krm-body
nugaBAvAt	nugabhāvāt	prIY	prīñ	1	krm-body
nugaBAve	nugabhāve	DUY	dhūñ	1	krm-body
nukUlaH	nukūlaḥ	jri	jri	1	krm-body
nuki	nuki	paRa	paṇa	1	krm-body
numaBAve	numabhāve	jAgf	jāgṛ	1	krm-body
numamicCanti	numamicchanti	masjo	masjo	1	krm-body
numbikalpaH	numbikalpaḥ	pA	pā	1	krm-body
numgrahaRasyAnusvAropalakzaRatvAt	numgrahaṇasyānusvāropalakṣaṇatvāt	ivi	ivi	1	krm-body
nummAtrArTam	nummātrārtham	maqi	maḍi	1	krm-body
numrahitaM	numrahitaṃ	Svasa	śvasa	1	krm-body
numvikalpAt	numvikalpāt	vicCa	viccha	1	krm-body
numvikalpo	numvikalpo	jarja	jarja	1	krm-body
nunAvayizA	nunāvayiṣā	Ru	ṇu	1	krm-body
nunAvayizaH	nunāvayiṣaḥ	Ru	ṇu	1	krm-body
nunAvayizaRIyam	nunāvayiṣaṇīyam	Ru	ṇu	1	krm-body
nunAvayizaRam	nunāvayiṣaṇam	Ru	ṇu	1	krm-body
nunAvayizam	nunāvayiṣam	Ru	ṇu	1	krm-body
nunAvayizamARaH	nunāvayiṣamāṇaḥ	Ru	ṇu	1	krm-body
nunAvayizitaH	nunāvayiṣitaḥ	Ru	ṇu	1	krm-body
nunAvayizitavyam	nunāvayiṣitavyam	Ru	ṇu	1	krm-body
nunAvayizitum	nunāvayiṣitum	Ru	ṇu	1	krm-body
nunAvayizitvA	nunāvayiṣitvā	Ru	ṇu	2	krm-body
nunAvayizizyamARaH	nunāvayiṣiṣyamāṇaḥ	Ru	ṇu	1	krm-body
nunAvayizuH	nunāvayiṣuḥ	Ru	ṇu	1	krm-body
nunAvayizyam	nunāvayiṣyam	Ru	ṇu	1	krm-body
nunAvayizyamARaH	nunāvayiṣyamāṇaḥ	Ru	ṇu	1	krm-body
nunUzA	nunūṣā	Ru	ṇu	1	krm-body
nunUzaH	nunūṣaḥ	Ru	ṇu	1	krm-body
nunUzaRIyam	nunūṣaṇīyam	Ru	ṇu	1	krm-body
nunUzaRam	nunūṣaṇam	Ru	ṇu	1	krm-body
nunUzakaH	nunūṣakaḥ	RU	ṇū	1	krm-body
nunUzam	nunūṣam	Ru	ṇu	1	krm-body
nunUzitaH	nunūṣitaḥ	Ru	ṇu	1	krm-body
nunUzitavyam	nunūṣitavyam	Ru	ṇu	1	krm-body
nunUzitum	nunūṣitum	Ru	ṇu	1	krm-body
nunUzitvA	nunūṣitvā	Ru	ṇu	2	krm-body
nunUzuH	nunūṣuḥ	Ru	ṇu	1	krm-body
nunUzyam	nunūṣyam	Ru	ṇu	1	krm-body
nunUzyamARaH	nunūṣyamāṇaḥ	Ru	ṇu	1	krm-body
nunutsA	nunutsā	Ruda	ṇuda	1	krm-body
nunutsaH	nunutsaḥ	Ruda	ṇuda	1	krm-body
nunutsam	nunutsam	Ruda	ṇuda	1	krm-body
nunutsamAnaH	nunutsamānaḥ	Ruda	ṇuda	1	krm-body
nunutsanIyam	nunutsanīyam	Ruda	ṇuda	1	krm-body
nunutsanam	nunutsanam	Ruda	ṇuda	1	krm-body
nunutsitaH	nunutsitaḥ	Ruda	ṇuda	1	krm-body
nunutsitavyam	nunutsitavyam	Ruda	ṇuda	1	krm-body
nunutsitum	nunutsitum	Ruda	ṇuda	1	krm-body
nunutsitvA	nunutsitvā	Ruda	ṇuda	2	krm-body
nunutsizyamARaH	nunutsiṣyamāṇaḥ	Ruda	ṇuda	1	krm-body
nunutsuH	nunutsuḥ	Ruda	ṇuda	1	krm-body
nunutsurasmi	nunutsurasmi	Ruda	ṇuda	1	krm-body
nunutsyam	nunutsyam	Ruda	ṇuda	1	krm-body
nunutsyamAnaH	nunutsyamānaḥ	Ruda	ṇuda	1	krm-body
nupracCyorupasaNKyAnam	nupracchyorupasaṅkhyānam	Ru	ṇu	1	krm-body
nupratyayaH	nupratyayaḥ	BA	bhā	1	krm-body
nupratyaye	nupratyaye	zUN	ṣūṅ	1	krm-body
