mw_L	e	k1_slp1	root_iast	verb_type	classes	whitney_anchor	westergaard
69363	1	GaRw	ghaṇṭ	root	1,10P		1
69591	1	Gamb	ghamb	root	1Ā		1
69592	1	Gar	ghar	root	10P		
69628	1	Garb	gharb	root	1P		1
69692	1	Gas	ghas	genuineroot	1	Gas,42	1
69778	1	GiRR	ghiṇṇ	root	1Ā		1
69779	1	Gu	ghu	root	1Ā		
69785	1	Guw	ghuṭ	root	6P,1Ā	Guw,42	1
69796	1	Guq	ghuḍ	root	6P		1
69797	1	GuR	ghuṇ	root	6P,1Ā		
69812	1	GuRR	ghuṇṇ	root	1Ā		1
69819	1	Gur	ghur	root	6P,6Ā		
69841	1	Guz	ghuṣ	genuineroot	1P,1Ā	Guz,42	
69916	1	Guz	ghuṣ	root	1P		
69924	1	GUr	ghūr	root	4Ā		
69925	1	GUrR	ghūrṇ	genuineroot	1P,1Ā	GUrR,42	
69935	1	Gf	ghṛ	genuineroot	3P,1,10P	Gf,43	1
70066	1	Gf	ghṛ	root	3P,5,8P,8Ā		1
70070	1	GfR	ghṛṇ	root	0		
70104	1	GfRR	ghṛṇṇ	root	1Ā		1
70114	1	Gfz	ghṛṣ	genuineroot	1P,1Ā	Gfz,43	
70217	1	Gol	ghol	root	10P		
70246	1	GrA	ghrā	genuineroot	1,3P,3Ā,2P	GrA,43	
70280	1	Nu	ṅu	root	1Ā		1
70295	1	cak	cak	root	1P,1Ā	cak,43	1
70306	1	cakAs	cakās	root	2P,1Ā	cakAs,43	
70322	1	cakk	cakk	root	10P		1
70640	1	cakz	cakṣ	root	2Ā,2P	cakz,44	
70734	1	caG	cagh	root	5		1
70764	1	caYc	cañc	genuineroot	1P	caYc,44	
70830	1	caw	caṭ	genuineroot	1P	caw,44	1
70856	1	cawacawa	caṭacaṭa	root	0P		
70859	2	cawacawAya	caṭacaṭāya	root			
70883	1	caR	caṇ	root	1P		1
70904	1	caRq	caṇḍ	root	1,10Ā		1
71064	1	cat	cat	root	1P,1Ā	cat,44	1
71509	1	cad	cad	root	1		1
71514	1	can	can	root	1		1
71515	1	can	can	genuineroot		can,44	
71529	1	cand	cand	root	1	Scand,177	1
71989	2	candrikAya	candrikāya	root	0Ā		
71998	1	cap	cap	root	1,10		1
72049	1	cam	cam	root	1,5	cam,44	1
72122	1	camp	camp	root	10		1
72168	1	camb	camb	root	1		
72171	1	cay	cay	root	1		1
72173	1	car	car	genuineroot	1Ā,1P	car,45	1
72400	1	carG	cargh	root	1		
72401	1	carc	carc	genuineroot	1,10Ā	carc,45	1
72442	1	carb	carb	root	1		1
72562	1	carv	carv	genuineroot	10,1	carv,45	1
72587	1	cal	cal	genuineroot	1Ā	cal,45	1
72689	1	caz	caṣ	root	1P,1Ā		1
72700	1	cah	cah	root	1,10		
73035	1	cAy	cāy	root	1Ā	cAy,46	
73297	1	ci	ci	genuineroot	5Ā,5P	ci1,46	1
73362	1	ci	ci	genuineroot	3Ā,5Ā	ci1,46;ci2,46	1
73366	1	ci	ci	root	1		
73413	1	cikk	cikk	root	10P		
73469	1	ciw	ciṭ	root	1P		1
73474	1	cit	cit	genuineroot	1,2Ā,3Ā,3P	cit,47	1
74105	1	cint	cint	root	10,1	cint,47	1
74204	2	cimicimAya	cimicimāya	root			
74340	1	ciri	ciri	root	5		1
74354	1	cil	cil	root	6		1
74368	1	cill	cill	root	1		
74413	1	cIk	cīk	root	1,10		
74453	1	cIB	cībh	root	0		
74454	1	cIy	cīy	root	0		
74506	1	cIv	cīv	root	1,10		1
74519	1	cukk	cukk	root	10		
74547	1	cucy	cucy	root	0		
74558	1	cuw	cuṭ	root	6,10,1		
74559	1	cuww	cuṭṭ	root	10		
74560	1	cuq	cuḍ	root	6		
74561	1	cuqq	cuḍḍ	root	1		
74562	1	cuR	cuṇ	root	6		
74567	1	cuRW	cuṇṭh	root	10		
74571	1	cut	cut	root	0		1
74573	1	cud	cud	root	1Ā	cud,48	
74611	1	cund	cund	root			
74614	1	cup	cup	root	1	cup,48	
74616	1	cup	cup	root	6		
74626	1	cumb	cumb	root	10		
74627	1	cumb	cumb	genuineroot	1Ā	cumb,48	1
74646	1	cur	cur	root	10,1	cur,48	
74681	1	cul	cul	root	10		1
74694	1	culump	culump	root	1	culump,48	
74699	1	cull	cull	root	0		1
74789	1	cUR	cūṇ	root	10		1
74798	1	cUr	cūr	root	4,10		1
74801	1	cUrR	cūrṇ	genuineroot	10		
74874	1	cUz	cūṣ	genuineroot	1	cUz,48	1
74888	1	cft	cṛt	root	6,1,10	cft,48	1
74889	1	cfp	cṛp	root	1,10		
74944	1	cel	cel	root	1		1
74969	1	cell	cell	root	0		
74971	1	cezw	ceṣṭ	root	1	cezw,49	
75257	1	cyu	cyu	root	10		1
75258	1	cyu	cyu	root	1P,1Ā	cyu,49	
75341	1	cyut	cyut	root	1	cyut,49	
75346	1	cyus	cyus	root	10		1
75390	1	Cad	chad	genuineroot	1,10Ā		1
75556	1	Cad	chad	genuineroot	10,1Ā	Cand,50	
