L_id	headword	headword_slp1	source	source_slp1	source_class	is_root	source_gloss_de	deriv_marker	context
27200	jāḍāra	jAqAra	jaḍa	jaqa	root	True		von	{#jAqAra/#}¦ von {#jaqa#} PAT._zu_P. 4,1,130.
27201	jāḍya	jAqya	jaḍa	jaqa	root	True		von	{#jA/qya#}¦ (von {#jaqa#}) n. gaṇa {#dfQAdi#} zu P. 5,1,123.  1〉 : {#duHK
27203	jāta	jAta	jan	jan	root	True		von	tic. praet. von {#jan#})  1〉 adj. Accent eines auf {#jAta#} ausgehenten comp. P. 6,2,171.
27204	jātaka	jAtaka	jāta	jAta	root	True		von	{#jAtaka#}¦ (von {#jAta#})  1〉 adj. : {#jAra˚#} M. 9,143. — 2〉 m.  a〉  KA
27212	jātavant	jAtavant	jāta	jAta	root	True		von	{#jAtavant#}¦ (von {#jAta#}) adj.  {#jAta#}  {#jan#} : {#fc#} AIT. BR. 1,16
27220	jātāyana	jAtAyana	jāta	jAta	root	True		von	jA/tAyana#}¦ patron. von {#jAta#} gaṇa {#aSvAdi#} zu P. 4,1,110.
27221	jāti	jAti	jan	jan	root	True		von	{#jAti#}¦ (von {#jan#}) f. TRIK. 3,5,1.  1〉  AK. 3,4,14,70. H. an. 2,16
27244	jātu	jAtu	jan	jan	root	True		von	
27251	jātūbharman	jAtUBarman	jan	jan	root	True		von	
27256	jāna	jAna	jan	jan	root	True		von	1. {#jA/na#}¦ (von {#jan#}) n. : {#ko ve^da\ jAna^mezAm (marutAm)#} ṚV. 5,53,1. {#de\v
27257	jāna	jAna	jana	jana	root	True		von	2. {#jAna#}¦ (von {#jana#}) m. patron. des Vṛca PAÑCAV. BR. 13,3.
27262	jānanti	jAnanti	jñā	jYA	root	True		von	{#jAnant#}, partic. von {#jYA#}) m. N. pr. eines Lehrers ĀŚV. GṚHY. 3,4. Verz. d. B. H. N
27269	jānāyana	jAnAyana	jana	jana	root	True		von	jA/nAyana#}¦ patron. von {#jana#} gaṇa {#aSvAdi#} zu P. 4,1,110.
27273	jānuka	jAnuka	jan	jan	root	True		von	1. {#jAnuka#}¦ (von {#jan#}) adj. f. {#A#} : {#pumAMsaM ha jAnukA Bavati#}  ĀPAST. beim
27283	jāpa	jApa	jap	jap	root	True		von	{#jApa#}¦ (von {#jap#}) m. = {#japa#}  JAṬĀDH._im_ŚKDR. {#jApaM samApya
27284	jāpaka	jApaka	jap	jap	root	True		von	{#jApaka#}¦ 1〉 (von {#jap#}) adj. subst.  MBH. 12,7153. fg. — 2〉 (von {#jApa
27285	jāpana	jApana	jap	jap	root	True		von	
27286	jāpin	jApin	jap	jap	root	True		von	{#jApin#}¦ (von {#jap#}) adj. am Ende eines comp. : {#rudra˚#} YĀJÑ. 3,3
27287	jāpya	jApya	jap	jap	root	True		von	s. von {#jap#} VOP. 26,12.  a〉 adj. : {#yacCrotavyamaTo jApyaM yatkartavyaM nfBiH#} BHĀG.
27297	jāmarya	jAmarya	jam	jam	root	True		Wurzel/Stamm	t der Milch: {#kf\zRA sa\tI ruSa^tA DA\sinE\zA jAma^ryeRa\ paya^sA pIpAya#} ṚV. 4,3,9.
27303	jāmi	jAmi	jan	jan	root	True		von	{#jAmi/#}¦ (von {#jan#})  1〉 adj.  a〉 ; seltener vom  ({#jAmirBrAtA#}),
27324	jāmbha	jAmBa	jambha	jamBa	root	True		von	{#jAmBa/#}¦ patron. von {#jamBa#} gaṇa {#SivAdi#} zu P. 4,1,112.
27327	jāyantī	jAyantI	ji	ji	root	True		von	{#jayant#}, partic. von {#ji#}, oder von {#jayanta#}) f. N. pr. {#˚putra#} N. pr. eines L
27329	jāyā	jAyA	jan	jan	root	True	gebären	von	{#jAyA/#}¦ (von {#jan#} ) f. Uṇ. 4,112. ŚĀNT. 1,5.  1〉  (neben {#pati#})
27335	jāyin	jAyin	ji	ji	root	True		von	{#jAyin#}¦ (von {#ji#})  1〉 adj. am Ende eines comp. : {#anyatastya˚#} Ś
27400	jāvāyani	jAvAyani	java	java	root	True		von	{#jA/vAyani#}¦ von {#java#} gaṇa {#karRAdi#} zu P. 4,2,80.
27412	ji	ji	jyā	jyA	root	True		von	WEST. zu lesen) 2170. — 2〉 : {#u\BA ji^gyaTu\rna parA^ jayeTe#} ṚV. 6,69,8. AV. 4,22,5. 6,
27415	jigatnu	jigatnu	gam	gam	root	True		von	{#jigatnu/#}¦ (von {#gam#}) Uṇ. 3,31. adj. : {#vAtA^saH#} ṚV. 10,78,3. {#Ap
27416	jigamiṣā	jigamizA	gam	gam	root	True		von	amizA#}¦ (vom desid. von {#gam#}) f.  ŚKDR. WILS.
27420	jigīṣā	jigIzA	ji	ji	root	True		von	gIzA/#}¦ (vom desid. von 1. {#ji#}) f.  1〉 : {#(sarvadAnAni) dAtavyAni dvijAtiByaH svargam
